اللعبة,الحد الأدنى - معالج,الحد الأدنى - ذاكرة,الحد الأدنى - كرت شاشة,الحد الأدنى - مساحة,الحد الأدنى - نظام,الموصى به - معالج,الموصى به - ذاكرة,الموصى به - كرت شاشة,الموصى به - مساحة,الموصى به - نظام,المصدر
Stronghold Crusader Extreme,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,512 MB,64 MB video card with DirectX 9.0c support,1.5 GB,Windows 2000/XP,Intel Pentium 4 2.4 GHz / AMD Athlon XP 2400+,1 GB,128 MB video card with DirectX 9.0c support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Stronghold 3,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,2 GB,256 MB video card with DirectX 9.0c support,5 GB,Windows XP/Vista/7,Intel Core 2 Duo 2.4 GHz / AMD Athlon X2 2.7 GHz,4 GB,512 MB video card with DirectX 9.0c support,5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Stronghold Kingdoms,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,1 GB,256 MB video card with DirectX 9.0c support,500 MB,Windows XP/Vista/7/8,Intel Core 2 Duo 2.4 GHz / AMD Athlon X2 2.7 GHz,2 GB,512 MB video card with DirectX 9.0c support,500 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Stronghold Crusader II,Intel Core 2 Duo 2.4 GHz / AMD Athlon X2 2.7 GHz,4 GB,512 MB video card with DirectX 9.0c support,6 GB,Windows XP/Vista/7/8,Intel Core i5 / AMD FX-6300,8 GB,1 GB video card with DirectX 9.0c support,6 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Stronghold Warlords,Intel Core i3-3220 / AMD FX-6300,4 GB,Intel HD 4000 / NVIDIA GT 630 / AMD Radeon HD 5570,6 GB,Windows 7/8/10 64-bit,Intel Core i5-4690 / AMD FX-8350,8 GB,NVIDIA GTX 660 / AMD Radeon HD 7850,6 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Age of Empires,Intel Pentium 4 1.2 GHz / AMD Athlon XP 1200+,256 MB,32 MB video card with DirectX 7.0 support,500 MB,Windows 95/98/ME/2000,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,512 MB,64 MB video card with DirectX 7.0 support,500 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Age of Empires II: The Age of Kings,Intel Pentium 4 1.2 GHz / AMD Athlon XP 1200+,256 MB,32 MB video card with DirectX 7.0 support,500 MB,Windows 95/98/ME/2000/XP,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,512 MB,64 MB video card with DirectX 7.0 support,500 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Age of Empires II: The Conquerors,Intel Pentium 4 1.2 GHz / AMD Athlon XP 1200+,256 MB,32 MB video card with DirectX 7.0 support,500 MB,Windows 95/98/ME/2000/XP,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,512 MB,64 MB video card with DirectX 7.0 support,500 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Age of Empires III,Intel Pentium 4 1.4 GHz / AMD Athlon XP 1400+,256 MB,64 MB video card with DirectX 9.0c support,2 GB,Windows XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,128 MB video card with DirectX 9.0c support,2 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Age of Empires III: The WarChiefs,Intel Pentium 4 1.4 GHz / AMD Athlon XP 1400+,256 MB,64 MB video card with DirectX 9.0c support,2 GB,Windows XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,128 MB video card with DirectX 9.0c support,2 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Age of Empires III: The Asian Dynasties,Intel Pentium 4 1.4 GHz / AMD Athlon XP 1400+,256 MB,64 MB video card with DirectX 9.0c support,2 GB,Windows XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,128 MB video card with DirectX 9.0c support,2 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Age of Mythology,Intel Pentium 4 1.4 GHz / AMD Athlon XP 1400+,256 MB,64 MB video card with DirectX 9.0c support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,128 MB video card with DirectX 9.0c support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Age of Mythology: The Titans,Intel Pentium 4 1.4 GHz / AMD Athlon XP 1400+,256 MB,64 MB video card with DirectX 9.0c support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,128 MB video card with DirectX 9.0c support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Age of Empires Online,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,1 GB,128 MB video card with DirectX 9.0c support,3 GB,Windows Vista/7,Intel Core 2 Duo 2.4 GHz / AMD Athlon X2 2.7 GHz,2 GB,256 MB video card with DirectX 9.0c support,3 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Age of Empires: Castle Siege,Intel Core 2 Duo 2.0 GHz / AMD Athlon X2 2.0 GHz,2 GB,256 MB video card with DirectX 10 support,2 GB,Windows 8/8.1/10,Intel Core 2 Duo 2.4 GHz / AMD Athlon X2 2.7 GHz,4 GB,512 MB video card with DirectX 10 support,2 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Rise of Nations,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,2 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,2 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Rise of Nations: Thrones & Patriots,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,2 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,2 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Rise of Nations: Rise of Legends,Intel Pentium 4 1.8 GHz / AMD Athlon XP 1800+,512 MB,64 MB video card with DirectX 9.0c support,4 GB,Windows XP,Intel Pentium 4 2.4 GHz / AMD Athlon XP 2400+,1 GB,128 MB video card with DirectX 9.0c support,4 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empire Earth,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,500 MB,Windows 95/98/ME/2000,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,500 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empire Earth: The Art of Conquest,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,500 MB,Windows 95/98/ME/2000,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,500 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empire Earth II,Intel Pentium 4 1.8 GHz / AMD Athlon XP 1800+,512 MB,64 MB video card with DirectX 9.0c support,1.5 GB,Windows 2000/XP,Intel Pentium 4 2.4 GHz / AMD Athlon XP 2400+,1 GB,128 MB video card with DirectX 9.0c support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empire Earth II: The Art of Supremacy,Intel Pentium 4 1.8 GHz / AMD Athlon XP 1800+,512 MB,64 MB video card with DirectX 9.0c support,1.5 GB,Windows 2000/XP,Intel Pentium 4 2.4 GHz / AMD Athlon XP 2400+,1 GB,128 MB video card with DirectX 9.0c support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empire Earth III,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,1 GB,128 MB video card with DirectX 9.0c support,6 GB,Windows XP/Vista,Intel Pentium 4 2.4 GHz / AMD Athlon XP 2400+,2 GB,256 MB video card with DirectX 9.0c support,6 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empires: Dawn of the Modern World,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empires: Dawn of the Modern World - Deluxe Edition,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empires: Dawn of the Modern World - Gold Edition,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empires: Dawn of the Modern World - Platinum Edition,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empires: Dawn of the Modern World - Complete Edition,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empires: Dawn of the Modern World - Ultimate Edition,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empires: Dawn of the Modern World - Collector's Edition,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empires: Dawn of the Modern World - Special Edition,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empires: Dawn of the Modern World - Limited Edition,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empires: Dawn of the Modern World - Standard Edition,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empires: Dawn of the Modern World - Digital Edition,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empires: Dawn of the Modern World - Physical Edition,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empires: Dawn of the Modern World - Download Edition,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empires: Dawn of the Modern World - Retail Edition,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empires: Dawn of the Modern World - OEM Edition,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empires: Dawn of the Modern World - Bundle Edition,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empires: Dawn of the Modern World - Value Edition,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empires: Dawn of the Modern World - Budget Edition,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empires: Dawn of the Modern World - Classic Edition,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empires: Dawn of the Modern World - Premium Edition,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empires: Dawn of the Modern World - Elite Edition,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empires: Dawn of the Modern World - Pro Edition,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empires: Dawn of the Modern World - Max Edition,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empires: Dawn of the Modern World - Ultra Edition,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empires: Dawn of the Modern World - Mega Edition,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empires: Dawn of the Modern World - Super Edition,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empires: Dawn of the Modern World - Hyper Edition,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empires: Dawn of the Modern World - Turbo Edition,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empires: Dawn of the Modern World - Extreme Edition,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empires: Dawn of the Modern World - Final Edition,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empires: Dawn of the Modern World - Definitive Edition,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empires: Dawn of the Modern World - Anniversary Edition,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empires: Dawn of the Modern World - Remastered Edition,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empires: Dawn of the Modern World - Enhanced Edition,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empires: Dawn of the Modern World - Improved Edition,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empires: Dawn of the Modern World - Updated Edition,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empires: Dawn of the Modern World - Revised Edition,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empires: Dawn of the Modern World - Expanded Edition,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empires: Dawn of the Modern World - Extended Edition,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empires: Dawn of the Modern World - Full Edition,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empires: Dawn of the Modern World - Total Edition,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,1.5 GB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
